,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,842,947,731,708,597,672,850
accuracy,0.7531305903398927,0.8470483005366727,0.6538461538461539,0.6332737030411449,0.5339892665474061,0.6010733452593918,0.7602862254025045
true_error_count,233,120,282,188,334,305,268
unknown_count,43,51,105,222,187,141,0
error_m_to_f,15,26,29,10,33,27,175
error_m_to_u,15,16,44,44,73,55,0
error_f_to_m,167,38,207,132,245,221,35
error_f_to_u,21,33,49,166,109,77,0
error_d_to_m,30,31,22,40,25,25,16
error_d_to_f,21,25,24,6,26,21,42
error_d_to_u,7,2,12,12,5,9,0
error_m_to_n,0,0,0,0,0,4,0
error_f_to_n,0,0,0,0,3,4,0
