,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,223,330,221,209,235,232,384
accuracy,0.3996415770609319,0.5913978494623656,0.3960573476702509,0.37455197132616486,0.4211469534050179,0.4157706093189964,0.6881720430107527
true_error_count,219,77,221,215,254,251,174
unknown_count,116,151,116,134,69,75,0
error_m_to_f,56,14,36,78,24,26,146
error_m_to_u,52,62,55,59,32,32,0
error_f_to_m,144,43,164,121,191,191,0
error_f_to_u,55,81,54,63,31,35,0
error_d_to_m,10,9,12,9,17,15,3
error_d_to_f,9,11,9,7,5,5,25
error_d_to_u,9,8,7,12,6,8,0
error_m_to_n,0,0,0,0,8,7,0
error_f_to_n,0,0,0,0,9,7,0
