,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,450,471,382,337,322,373,425
accuracy,0.8490566037735849,0.8886792452830189,0.720754716981132,0.6358490566037736,0.6075471698113207,0.7037735849056603,0.8018867924528302
true_error_count,61,33,107,89,130,97,105
unknown_count,19,26,41,104,78,60,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,8,14,21,2,17,14,85
error_m_to_u,7,11,21,31,32,26,0
error_f_to_m,53,19,86,87,110,82,20
error_f_to_u,12,15,20,73,46,34,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,1,0,0
error_f_to_n,0,0,0,0,2,1,0
