,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
total,530,530,530,530,530,530,530
correct,395,457,351,330,307,361,403
accuracy,0.7452830188679245,0.8622641509433963,0.6622641509433962,0.6226415094339622,0.5792452830188679,0.6811320754716981,0.7603773584905661
true_error_count,118,51,137,72,137,104,127
unknown_count,17,22,42,128,86,65,0
pairing,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
error_m_to_f,15,17,23,7,19,13,88
error_m_to_u,9,10,23,36,35,25,0
error_f_to_m,103,34,114,65,115,89,39
error_f_to_u,8,12,19,92,51,40,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,1,0
error_f_to_n,0,0,0,0,1,1,0
