,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
total,530,530,530,530,530,530,530
correct,503,486,424,269,270,270,321
accuracy,0.9490566037735849,0.9169811320754717,0.8,0.5075471698113208,0.5094339622641509,0.5094339622641509,0.6056603773584905
true_error_count,8,21,44,145,198,196,209
unknown_count,19,23,62,116,62,64,0
pairing,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
error_m_to_f,5,9,15,9,18,20,83
error_m_to_u,9,13,22,44,21,22,0
error_f_to_m,3,12,29,136,178,172,126
error_f_to_u,10,10,40,72,41,42,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,1,0
error_f_to_n,0,0,0,0,0,3,0
