,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
total,530,530,530,530,530,530,530
correct,422,396,357,309,291,340,409
accuracy,0.7962264150943397,0.7471698113207547,0.6735849056603773,0.5830188679245283,0.5490566037735849,0.6415094339622641,0.7716981132075472
true_error_count,91,110,131,97,167,127,121
unknown_count,17,24,42,124,72,63,0
pairing,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
error_m_to_f,16,24,22,12,13,16,74
error_m_to_u,9,10,20,39,35,28,0
error_f_to_m,75,86,109,85,154,110,47
error_f_to_u,8,14,22,85,37,35,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,0,0,0
error_f_to_n,0,0,0,0,0,1,0
