,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,342,351,325,331,302,358,361
accuracy,0.6129032258064516,0.6290322580645161,0.5824372759856631,0.5931899641577061,0.5412186379928315,0.6415770609318996,0.6469534050179212
true_error_count,88,72,98,75,182,125,197
unknown_count,128,135,135,152,74,75,0
error_m_to_f,39,24,37,24,11,24,168
error_m_to_u,56,55,54,56,28,27,0
error_f_to_m,25,27,41,31,140,69,1
error_f_to_u,68,73,73,88,39,40,0
error_d_to_m,9,11,11,12,16,12,5
error_d_to_f,15,10,9,8,5,8,23
error_d_to_u,4,7,8,8,7,8,0
error_m_to_n,0,0,0,0,5,6,0
error_f_to_n,0,0,0,0,5,6,0
