,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
DIVERSE_precision,0,0,0,0,0,0,0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIVERSE_f1_score,0,0,0,0,0,0,0
DIVERSE_support,58,58,58,58,58,58,58
FEMININE_precision,0.9090909090909091,0.8998211091234347,0.8801571709233792,0.9242424242424242,0.8265682656826568,0.9063291139240506,0.7422096317280453
FEMININE_recall,0.9433962264150944,0.9490566037735849,0.8452830188679246,0.46037735849056605,0.4226415094339623,0.6754716981132075,0.9886792452830189
FEMININE_f1_score,0.9259259259259259,0.9237832874196511,0.8623676612127045,0.6146095717884131,0.5593008739076155,0.7740540540540539,0.8478964401294499
FEMININE_support,530,530,530,530,530,530,530
MASCULINE_precision,0.9655831739961759,0.9418604651162791,0.8961538461538462,0.774247491638796,0.6395348837209303,0.8081705150976909,0.9393203883495146
MASCULINE_recall,0.9528301886792453,0.9169811320754717,0.879245283018868,0.8735849056603774,0.8301886792452831,0.8584905660377359,0.730188679245283
MASCULINE_f1_score,0.9591642924976258,0.9292543021032506,0.8876190476190478,0.8209219858156028,0.722495894909688,0.8325709057639524,0.821656050955414
MASCULINE_support,530,530,530,530,530,530,530
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
