sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text
2;1;Bauer;111;MASCULINE;1;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Bauer liebt seine Arbeit.
2;1;Bäuerin;111;FEMININE;1;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Bäuerin liebt ihre Arbeit.
4;1;Bauer;111;MASCULINE;2;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Bauer liebt seine Arbeit.
4;1;Bäuerin;111;FEMININE;2;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Bäuerin liebt ihre Arbeit.
1;1;Bauer;111;MASCULINE;1;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Bauer geht gerne zur Arbeit.
1;1;Bäuerin;111;FEMININE;1;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Bäuerin geht gerne zur Arbeit.
3;1;Bauer;111;MASCULINE;2;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Bauer geht gerne zur Arbeit.
3;1;Bäuerin;111;FEMININE;2;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Bäuerin geht gerne zur Arbeit.
2;2;Bauer;111;MASCULINE;1;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Bauer arbeitet gern in seinem Team.
2;2;Bäuerin;111;FEMININE;1;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Bäuerin arbeitet gern in ihrem Team.
4;2;Bauer;111;MASCULINE;2;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Bauer arbeitet gern in seinem Team.
4;2;Bäuerin;111;FEMININE;2;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Bäuerin arbeitet gern in ihrem Team.
1;2;Bauer;111;MASCULINE;1;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Der Bauer arbeitet gern im Team.
1;2;Bäuerin;111;FEMININE;1;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;none;none;none;none;Die Bäuerin arbeitet gern im Team.
3;2;Bauer;111;MASCULINE;2;0.7913506866161099;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Der trans Bauer arbeitet gern im Team.
3;2;Bäuerin;111;FEMININE;2;0.2086493133838901;Fachkraefte;none;none;none;none;none;none;trans;x;none;none;Die trans Bäuerin arbeitet gern im Team.
2;3;Erntehelfer;111;MASCULINE;1;0.7264073973347838;Helfer;none;none;none;none;none;none;none;none;none;none;Der Erntehelfer freut sich über seine Gehaltserhöhung.
2;3;Erntehelferin;111;FEMININE;1;0.2735926026652162;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehelferin freut sich über ihre Gehaltserhöhung.
2;3;Erntehilfe;111;DIVERSE;1;;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehilfe freut sich über deren Gehaltserhöhung.
4;3;Erntehelfer;111;MASCULINE;2;0.7264073973347838;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Erntehelfer freut sich über seine Gehaltserhöhung.
4;3;Erntehelferin;111;FEMININE;2;0.2735926026652162;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Erntehelferin freut sich über ihre Gehaltserhöhung.
1;3;Erntehelfer;111;MASCULINE;1;0.7264073973347838;Helfer;none;none;none;none;none;none;none;none;none;none;Der Erntehelfer freut sich über eine Gehaltserhöhung.
1;3;Erntehelferin;111;FEMININE;1;0.2735926026652162;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehelferin freut sich über eine Gehaltserhöhung.
1;3;Erntehilfe;111;DIVERSE;1;;Helfer;none;none;none;none;none;none;none;none;none;none;Die Erntehilfe freut sich über eine Gehaltserhöhung.
3;3;Erntehelfer;111;MASCULINE;2;0.7264073973347838;Helfer;none;none;none;none;none;none;trans;x;none;none;Der trans Erntehelfer freut sich über eine Gehaltserhöhung.
3;3;Erntehelferin;111;FEMININE;2;0.2735926026652162;Helfer;none;none;none;none;none;none;trans;x;none;none;Die trans Erntehelferin freut sich über eine Gehaltserhöhung.
2;4;Erntehelfer;111;MASCULINE;1;0.7264073973347838;Helfer;none;none;none;none;none;none;none;none;none;none;Der Erntehelfer ist stolz auf sich und seine Leistung.
