,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
DIVERSE_precision,0.0,0.0,0.0,0.0,1.0,1.0,0.0
DIVERSE_recall,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0
DIVERSE_f1_score,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
DIVERSE_support,58,58,58,58,58,58,58
FEMININE_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEMININE_recall,0,0,0,0,0,0,0
FEMININE_f1_score,0,0,0,0,0,0,0
FEMININE_support,0,0,0,0,0,0,0
MASCULINE_precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASCULINE_recall,0,0,0,0,0,0,0
MASCULINE_f1_score,0,0,0,0,0,0,0
MASCULINE_support,0,0,0,0,0,0,0
UNKNOWN_precision,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_recall,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_f1_score,0.0,0.0,0.0,0.0,0.0,0.0,
UNKNOWN_support,0.0,0.0,0.0,0.0,0.0,0.0,
NEUTER_precision,,,,,0.0,0.0,
NEUTER_recall,,,,,0.0,0.0,
NEUTER_f1_score,,,,,0.0,0.0,
NEUTER_support,,,,,0.0,0.0,
